event_id	event_date	course_name	PLAYER_ID	PLAYER	finish_position	made_cut	winner
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_hideki_matsuyama	Hideki Matsuyama	1	1	1
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_collin_morikawa	Collin Morikawa	2	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_sungjae_im	Sungjae Im	3	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_jhonattan_vegas	Jhonattan Vegas	4	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_corey_conners	Corey Conners	T5	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_ludvig_aberg	Ludvig Åberg	T5	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_thomas_detry	Thomas Detry	T5	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_cameron_young	Cameron Young	T8	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_harry_hall	Harry Hall	T8	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_maverick_mcnealy	Maverick McNealy	T8	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_sam_burns	Sam Burns	T8	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_tom_hoge	Tom Hoge	T8	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_cam_davis	Cam Davis	T13	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_taylor_pendrith	Taylor Pendrith	T13	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_aaron_rai	Aaron Rai	T15	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_adam_scott	Adam Scott	T15	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_austin_eckroat	Austin Eckroat	T15	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_keegan_bradley	Keegan Bradley	T15	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_patrick_cantlay	Patrick Cantlay	T15	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_robert_macintyre	Robert MacIntyre	T15	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_sepp_straka	Sepp Straka	T15	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_tony_finau	Tony Finau	T15	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_wyndham_clark	Wyndham Clark	T15	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_matt_fitzpatrick	Matt Fitzpatrick	T24	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_max_greyserman	Max Greyserman	T24	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_justin_thomas	Justin Thomas	T26	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_max_homa	Max Homa	T26	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_will_zalatoris	Will Zalatoris	T26	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_adam_hadwin	Adam Hadwin	29	1	0
2025_sentry	2025-01-05	Plantation Course at Kapalua	player_russell_henley	Russell Henley	T30	1	0
