event_id	event_date	course_name	PLAYER_ID	PLAYER	finish_position	made_cut	winner
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	justin_rose	Justin Rose	1	1	1
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	pierceson_coody	Pierceson Coody	T2	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	si_woo_kim	Si Woo Kim	T2	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	ryo_hisatsune	Ryo Hisatsune	T2	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	jake_knapp	Jake Knapp	T5	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	stephan_jaeger	Stephan Jaeger	T5	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	sahith_theegala	Sahith Theegala	T7	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	andrew_novak	Andrew Novak	T7	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	joel_dahmen	Joel Dahmen	T7	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	maverick_mcnealy	Maverick McNealy	10	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	tony_finau	Tony Finau	T11	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	ryan_gerard	Ryan Gerard	T11	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	adam_schenk	Adam Schenk	T11	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	keith_mitchell	Keith Mitchell	T11	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	hideki_matsuyama	Hideki Matsuyama	T11	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	seamus_power	Seamus Power	T11	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	haotong_li	Haotong Li	T11	1	0
2026_farmers_insurance_open	2026-02-01	Torrey Pines Golf Course (South Course; North Course used in first 3 rounds)	michael_thorbjornsen	Michael Thorbjornsen	T18	1	0
